"T12,Gross domestic product and gross domestic product per capita,,,"
"Region/Country/Area,,Year,population,Value"
"14,Eastern Africa,2017,2912965.166,364120.6458"
"14,Eastern Africa,2018,3149350.991,393668.8739"
"14,Eastern Africa,1985,3190.992,398.874"
"14,Eastern Africa,1995,2541,317.625"
"14,Eastern Africa,2005,3131.7728,391.4716"
"14,Eastern Africa,2010,5152.196,644.0245"
"14,Eastern Africa,2015,6629.036,828.6295"
"14,Eastern Africa,2017,7100.1584,887.5198"
"14,Eastern Africa,2018,7473.1648,934.1456"
"14,Eastern Africa,1985,640196.932,80024.6165"
"14,Eastern Africa,1995,862128.7232,107766.0904"
"14,Eastern Africa,2005,1287692.682,160961.5852"
"14,Eastern Africa,2010,1929434.318,241179.2898"
"14,Eastern Africa,2015,2575830.419,321978.8024"
"14,Eastern Africa,2017,2858702.478,357337.8098"
"14,Eastern Africa,2018,3030183.252,378772.9065"
"14,Eastern Africa,1985,16.108,2.0135"
"14,Eastern Africa,1995,36.8888,4.6111"
"14,Eastern Africa,2005,51.6176,6.4522"
"14,Eastern Africa,2010,63.4184,7.9273"
"14,Eastern Africa,2015,47.3008,5.9126"
"14,Eastern Africa,2017,45.3744,5.6718"
"14,Eastern Africa,2018,47.9888,5.9986"
"17,Middle Africa,1985,282134.8104,35266.8513"
"17,Middle Africa,1995,288647.3176,36080.9147"
"17,Middle Africa,2005,796380.4832,99547.5604"
"17,Middle Africa,2010,1512368.419,189046.0524"
"17,Middle Africa,2015,1898293.294,237286.6618"
"17,Middle Africa,2017,1967668.534,245958.5667"
"17,Middle Africa,2018,2002206.602,250275.8253"
"17,Middle Africa,1985,4633.5112,579.1889"
"17,Middle Africa,1995,3445.5,430.6875"
"17,Middle Africa,2005,7110.016,888.752"
"17,Middle Africa,2010,11490.2296,1436.2787"
"17,Middle Africa,2015,12310.3352,1538.7919"
"17,Middle Africa,2017,11995.1272,1499.3909"
"17,Middle Africa,2018,11838.8384,1479.8548"
"17,Middle Africa,1985,763596.7192,95449.5899"
"17,Middle Africa,1995,674022.6008,84252.8251"
"17,Middle Africa,2005,1111847.921,138980.9901"
"17,Middle Africa,2010,1524549.463,190568.6829"
"17,Middle Africa,2015,1898293.294,237286.6618"
"17,Middle Africa,2017,1894833.461,236854.1826"
"17,Middle Africa,2018,1914285.762,239285.7203"
"17,Middle Africa,1985,13.5096,1.6887"
"17,Middle Africa,1995,54.4432,6.8054"
"17,Middle Africa,2005,73.38,9.1725"
"17,Middle Africa,2010,39.9496,4.9937"
"17,Middle Africa,2015,11.3816,1.4227"
"17,Middle Africa,2017,5.3936,0.6742"
"17,Middle Africa,2018,8.2128,1.0266"
"18,Southern Africa,1985,503416.8216,62927.1027"
"18,Southern Africa,1995,1335928.67,166991.0837"
"18,Southern Africa,2005,2236495.881,279561.9851"
"18,Southern Africa,2010,3249933.799,406241.7249"
"18,Southern Africa,2015,2800198.198,350024.7747"
"18,Southern Africa,2017,3096026.637,387003.3296"
"18,Southern Africa,2018,3268551.975,408568.9969"
"18,Southern Africa,1985,13542.9712,1692.8714"
"18,Southern Africa,1995,28209.004,3526.1255"
"18,Southern Africa,2005,40927.9624,5115.9953"
"18,Southern Africa,2010,55665.4112,6958.1764"
"18,Southern Africa,2015,44458.1392,5557.2674"
"18,Southern Africa,2017,47753.2744,5969.1593"
"18,Southern Africa,2018,49719.76,6214.97"
"18,Southern Africa,1985,1308002.628,163500.3285"
"18,Southern Africa,1995,1524305.189,190538.1486"
"18,Southern Africa,2005,2122459.972,265307.4965"
"18,Southern Africa,2010,2483969.566,310496.1958"
"18,Southern Africa,2015,2800198.198,350024.7747"
"18,Southern Africa,2017,2856690.083,357086.2604"
"18,Southern Africa,2018,2883519.592,360439.949"
"18,Southern Africa,1985,-7.7376,-0.9672"
"18,Southern Africa,1995,26.2504,3.2813"
"18,Southern Africa,2005,41.3424,5.1678"
"18,Southern Africa,2010,26.7552,3.3444"
"18,Southern Africa,2015,9.94,1.2425"
"18,Southern Africa,2017,11.1384,1.3923"
"18,Southern Africa,2018,7.5136,0.9392"
"11,Western Africa,1985,1959378.273,244922.2841"
"11,Western Africa,1995,840094.3344,105011.7918"
"11,Western Africa,2005,2105292.261,263161.5326"
"11,Western Africa,2010,4052650.889,506581.3611"
"11,Western Africa,2015,5338506.839,667313.3549"
"11,Western Africa,2017,4607648.107,575956.0134"
"11,Western Africa,2018,5172105.211,646513.1514"
"11,Western Africa,1985,12410.1896,1551.2737"
"11,Western Africa,1995,4084.3624,510.5453"
"11,Western Africa,2005,7858.8144,982.3518"
"11,Western Africa,2010,13199.3016,1649.9127"
"11,Western Africa,2015,15178.6416,1897.3302"
"11,Western Africa,2017,12414.3992,1551.7999"
"11,Western Africa,2018,13568.0848,1696.0106"
"11,Western Africa,1985,1398465.134,174808.1418"
"11,Western Africa,1995,1793533.198,224191.6498"
"11,Western Africa,2005,3013566.715,376695.8394"
"11,Western Africa,2010,4128041.858,516005.2323"
"11,Western Africa,2015,5338506.839,667313.3549"
"11,Western Africa,2017,5492819.38,686602.4225"
"11,Western Africa,2018,5668901.548,708612.6935"
"11,Western Africa,1985,45.088,5.636"
"11,Western Africa,1995,12.1784,1.5223"
"11,Western Africa,2005,47.8384,5.9798"
"11,Western Africa,2010,59.6344,7.4543"
"11,Western Africa,2015,24.3472,3.0434"
"11,Western Africa,2017,20.4432,2.5554"
"11,Western Africa,2018,25.6456,3.2057"
"19,Americas,1985,43930344.17,5491293.021"
"19,Americas,1995,81737553.44,10217194.18"
"19,Americas,2005,136612583,17076572.88"
"19,Americas,2010,175704952.5,21963119.06"
"19,Americas,2015,202270734.4,25283841.8"
"19,Americas,2017,215602259,26950282.38"
"19,Americas,2018,222941635.7,27867704.46"
"19,Americas,1985,65815.3744,8226.9218"
"19,Americas,1995,105278.0568,13159.7571"
"19,Americas,2005,154607.1448,19325.8931"
"19,Americas,2010,188237.2272,23529.6534"
"19,Americas,2015,206453.1496,25806.6437"
"19,Americas,2017,216264.216,27033.027"
"19,Americas,2018,221773.408,27721.676"
"19,Americas,1985,92226334.88,11528291.86"
"19,Americas,1995,121835577.4,15229447.18"
"19,Americas,2005,168513042,21064130.25"
"19,Americas,2010,181396172.6,22674521.57"
"19,Americas,2015,202270734.4,25283841.8"
"19,Americas,2017,208532936.2,26066617.02"
"19,Americas,2018,213430277,26678784.62"
"19,Americas,1985,31.3184,3.9148"
"19,Americas,1995,18.8456,2.3557"
"19,Americas,2005,29.4488,3.6811"
"19,Americas,2010,26.372,3.2965"
"19,Americas,2015,17.1776,2.1472"
"19,Americas,2017,16.672,2.084"
"19,Americas,2018,18.788,2.3485"
"21,Northern America,1985,37656350.27,4707043.784"
"21,Northern America,1995,65996401.94,8249550.242"
"21,Northern America,2005,113731985.7,14216498.21"
"21,Northern America,2010,132941391.2,16617673.9"
"21,Northern America,2015,158314375.8,19789296.97"
"21,Northern America,2017,169429656.7,21178707.09"
"21,Northern America,2018,178417504.7,22302188.09"
"21,Northern America,1985,141375.2592,17671.9074"
"21,Northern America,1995,224136.664,28017.083"
"21,Northern America,2005,347505.5872,43438.1984"
"21,Northern America,2010,387266.8912,48408.3614"
"21,Northern America,2015,443426.5144,55428.3143"
"21,Northern America,2017,468119.9944,58514.9993"
"21,Northern America,2018,489767.5832,61220.9479"
"21,Northern America,1985,72825381.65,9103172.706"
"21,Northern America,1995,96745482.72,12093185.34"
"21,Northern America,2005,135563736.2,16945467.03"
"21,Northern America,2010,141938370.7,17742296.34"
"21,Northern America,2015,158314375.8,19789296.97"
"21,Northern America,2017,164728933.5,20591116.69"
"21,Northern America,2018,169413597.2,21176699.65"
"21,Northern America,1985,33.74,4.2175"
"21,Northern America,1995,21.4888,2.6861"
"21,Northern America,2005,27.9072,3.4884"
"21,Northern America,2010,20.8232,2.6029"
"21,Northern America,2015,21.8288,2.7286"
"21,Northern America,2017,19.3376,2.4172"
"21,Northern America,2018,22.7512,2.8439"
"419,Latin America & the Caribbean,1985,6273993.894,784249.2367"
"419,Latin America & the Caribbean,1995,15741151.54,1967643.942"
"419,Latin America & the Caribbean,2005,22880597.38,2860074.673"
"419,Latin America & the Caribbean,2010,42763561.22,5345445.152"
"419,Latin America & the Caribbean,2015,43956358.58,5494544.822"
"419,Latin America & the Caribbean,2017,46172602.3,5771575.288"
"419,Latin America & the Caribbean,2018,44524130.91,5565516.364"
"419,Latin America & the Caribbean,1985,15641.1496,1955.1437"
"419,Latin America & the Caribbean,1995,32661.3976,4082.6747"
"419,Latin America & the Caribbean,2005,41127.7408,5140.9676"
"419,Latin America & the Caribbean,2010,72463.1832,9057.8979"
"419,Latin America & the Caribbean,2015,70588.072,8823.509"
"419,Latin America & the Caribbean,2017,72712.4448,9089.0556"
"419,Latin America & the Caribbean,2018,69462.8592,8682.8574"
"419,Latin America & the Caribbean,1985,19400953.22,2425119.152"
"419,Latin America & the Caribbean,1995,25090094.76,3136261.845"
"419,Latin America & the Caribbean,2005,32949305.77,4118663.221"
"419,Latin America & the Caribbean,2010,39457801.89,4932225.236"
"419,Latin America & the Caribbean,2015,43956358.58,5494544.822"
"419,Latin America & the Caribbean,2017,43804002.66,5475500.332"
"419,Latin America & the Caribbean,2018,44016679.74,5502084.968"
"419,Latin America & the Caribbean,1985,22.352,2.794"
"419,Latin America & the Caribbean,1995,8.8128,1.1016"
"419,Latin America & the Caribbean,2005,35.852,4.4815"
"419,Latin America & the Caribbean,2010,46.9672,5.8709"
"419,Latin America & the Caribbean,2015,0.8552,0.1069"
"419,Latin America & the Caribbean,2017,6.7984,0.8498"
"419,Latin America & the Caribbean,2018,3.884,0.4855"
"29,Caribbean,1985,558928.5704,69866.0713"
"29,Caribbean,1995,962713.3016,120339.1627"
"29,Caribbean,2005,1781067.606,222633.4507"
"29,Caribbean,2010,2324143.487,290517.9359"
"29,Caribbean,2015,2752472.798,344059.0997"
"29,Caribbean,2017,2894972.004,361871.5005"
"29,Caribbean,2018,2971747.779,371468.4724"
"29,Caribbean,1985,18052.7928,2256.5991"
"29,Caribbean,1995,27323.7608,3415.4701"
"29,Caribbean,2005,45926.6056,5740.8257"
"29,Caribbean,2010,57753.0504,7219.1313"
"29,Caribbean,2015,66056.4664,8257.0583"
"29,Caribbean,2017,68845.4248,8605.6781"
"29,Caribbean,2018,70402.504,8800.313"
"29,Caribbean,1985,1339225.158,167403.1448"
"29,Caribbean,1995,1603567.709,200445.9636"
"29,Caribbean,2005,2306070.12,288258.765"
"29,Caribbean,2010,2532234.387,316529.2984"
"29,Caribbean,2015,2752472.798,344059.0997"
"29,Caribbean,2017,2794911.466,349363.9333"
"29,Caribbean,2018,2821498.01,352687.2512"
"29,Caribbean,1985,6.572,0.8215"
"29,Caribbean,1995,32.1336,4.0167"
"29,Caribbean,2005,28.088,3.511"
"29,Caribbean,2010,13.6088,1.7011"
"29,Caribbean,2015,20.22,2.5275"
"29,Caribbean,2017,5.0256,0.6282"
"29,Caribbean,2018,7.6096,0.9512"
"13,Central America,1985,2043493.846,255436.7307"
"13,Central America,1995,3297740.47,412217.5588"
"13,Central America,2005,7777693.346,972211.6683"
"13,Central America,2010,9682165.824,1210270.728"
"13,Central America,2015,11216806.21,1402100.776"
"13,Central America,2017,11344128.03,1418016.004"
"13,Central America,2018,11936469.83,1492058.729"
"13,Central America,1985,19976.1488,2497.0186"
"13,Central America,1995,26476.4472,3309.5559"
"13,Central America,2005,53289.9224,6661.2403"
"13,Central America,2010,61438.4464,7679.8058"
"13,Central America,2015,66391.5944,8298.9493"
"13,Central America,2017,65449.3704,8181.1713"
"13,Central America,2018,68025.0088,8503.1261"
"13,Central America,1985,5118088.887,639761.1109"
"13,Central America,1995,6250742.139,781342.7674"
"13,Central America,2005,8731503.336,1091437.917"
"13,Central America,2010,9587018.952,1198377.369"
"13,Central America,2015,11216806.21,1402100.776"
"13,Central America,2017,11833889.67,1479236.209"
"13,Central America,2018,12085205.78,1510650.723"
"13,Central America,1985,20.62,2.5775"
"13,Central America,1995,-39.9664,-4.9958"
"13,Central America,2005,20.7608,2.5951"
"13,Central America,2010,39.4744,4.9343"
"13,Central America,2015,27.5072,3.4384"
"13,Central America,2017,18.7992,2.3499"
"13,Central America,2018,16.9896,2.1237"
"5,South America,1985,3671571.478,458946.4347"
"5,South America,1995,11480697.76,1435087.22"
"5,South America,2005,13321836.43,1665229.554"
"5,South America,2010,30757251.9,3844656.488"
"5,South America,2015,29987079.57,3748384.946"
"5,South America,2017,31933502.26,3991687.783"
"5,South America,2018,29615913.3,3701989.163"
"5,South America,1985,13706.872,1713.359"
"5,South America,1995,35636.3656,4454.5457"
